Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,
Agnieszka Małaszek,05,1,A,,,
Agnieszka Małaszek,05,2,A,,,
Agnieszka Małaszek,05,3,B,,,
Agnieszka Małaszek,05,4B,B,,,
Agnieszka Małaszek,05,5B,B,,,
Agnieszka Małaszek,05,6B,2,,,
Agnieszka Małaszek,05,7B,A,,,
Agnieszka Małaszek,05,8B,D,,,
Agnieszka Małaszek,05,9B,H,,Śmierć Mamy,
Agnieszka Małaszek,05,10B,F,,plus praca dorywcza ,
Agnieszka Małaszek,05,11B,A,,,
Agnieszka Małaszek,05,12B,H,,,
Agnieszka Małaszek,05,13B,"A,C,D,E,G",,,
Agnieszka Małaszek,05,14B,,,Brak drugiej pracującej osoby,
Agnieszka Małaszek,05,15B,"A,C,G",,,
Agnieszka Małaszek,05,16B,,,"Wszystko jest drogie, więcej trzeba przeznaczyć pieniędzy na te same produkty.",
Agnieszka Małaszek,05,17B,A,,Ocena pozytywna,
Agnieszka Małaszek,05,17B,B,,Ocena pozytywna,
Agnieszka Małaszek,05,17B,C,,Nie korzyształam/łem,
Agnieszka Małaszek,05,17B,D,,Ocena pozytywna,
Agnieszka Małaszek,05,17B,E,,Nie korzyształam/łem,
Agnieszka Małaszek,05,17B,F,,Nie korzyształam/łem,
Agnieszka Małaszek,05,17B,G,,Ocena pozytywna,
Agnieszka Małaszek,05,17B,H,,Nie korzyształam/łem,
Agnieszka Małaszek,05,17B,I,,Nie korzyształam/łem,
Agnieszka Małaszek,05,17B,J,,Ocena pozytywna,
Agnieszka Małaszek,05,17B,K,,Ocena pozytywna,
Agnieszka Małaszek,05,17B,L,,Nie korzyształam/łem,
Agnieszka Małaszek,05,18B,,,Podjęcie pracy przez syna,
Agnieszka Małaszek,05,19B,"D, F",,Mąż jednej koleżanki zabrania korzystania ze wsparcia,
Agnieszka Małaszek,05,19A,A,,,
Agnieszka Małaszek,05,20B,C,,,
Agnieszka Małaszek,05,21B,,,"Nie zwiększać inflacji, nie podnosić opłat za prąd.",
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,AGNIESZKA MAŁASZEK,,,
