Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,
Agnieszka Małaszek,10,1,B,,,
Agnieszka Małaszek,10,2,A,,,
Agnieszka Małaszek,10,3,B,,,
Agnieszka Małaszek,10,4B,B,,,
Agnieszka Małaszek,10,5B,B,,,
Agnieszka Małaszek,10,6B,2,,,
Agnieszka Małaszek,10,7B,A,,,
Agnieszka Małaszek,10,8B,C,,,
Agnieszka Małaszek,10,9B,C,,"Dodatkowo marna renta, ciężko znaleźć pracę dodatkowo opieka nad niepełnosprawną matką",
Agnieszka Małaszek,10,10B,E,,Dodatkowo praca dorywcza,
Agnieszka Małaszek,10,11B,A,,,
Agnieszka Małaszek,10,12B,M,,,
Agnieszka Małaszek,10,13B,"A,D",,,
Agnieszka Małaszek,10,14B,,,Brak stałej pracy. Nie wystarczające środki na leczenie Mamy i podstawowe potrzeby,
Agnieszka Małaszek,10,15B,"A,E",,,
Agnieszka Małaszek,10,16B,,,Moja niepełnosprawność oraz niepełnosprawność Mamy. Trudności z utrzymaniem pracy,
Agnieszka Małaszek,10,17B,A,,Ocena pozytywna,
Agnieszka Małaszek,10,17B,B,,Ocena pozytywna,
Agnieszka Małaszek,10,17B,C,,Nie korzyształam/łem,
Agnieszka Małaszek,10,17B,D,,Ocena pozytywna,
Agnieszka Małaszek,10,17B,E,,Ocena pozytywna,
Agnieszka Małaszek,10,17B,F,,Ocena pozytywna,
Agnieszka Małaszek,10,17B,G,,Ocena pozytywna,
Agnieszka Małaszek,10,17B,H,,Nie korzyształam/łem,
Agnieszka Małaszek,10,17B,I,,Nie korzyształam/łem,
Agnieszka Małaszek,10,17B,J,,Ocena pozytywna,
Agnieszka Małaszek,10,17B,K,,Ocena pozytywna,
Agnieszka Małaszek,10,17B,L,,Nie korzyształam/łem,
Agnieszka Małaszek,10,18B,,,Większa pomoc ze strony MOPSu - chora Mama oraz większe wsparcie ze strony państwa,
Agnieszka Małaszek,10,19B,D,,,
Agnieszka Małaszek,10,19A,A,,,
Agnieszka Małaszek,10,20B,C,,,
Agnieszka Małaszek,10,21B,,,Nie,
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,AGNIESZKA MAŁASZEK,,,
