Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,
Agnieszka Małaszek,17,1,A,,,
Agnieszka Małaszek,17,2,A,,,
Agnieszka Małaszek,17,3,A,,,
Agnieszka Małaszek,17,4A,B,,,
Agnieszka Małaszek,17,5A,A,,,
Agnieszka Małaszek,17,6A,A,,,
Agnieszka Małaszek,17,7A,A,,,
Agnieszka Małaszek,17,8A,F,,,
Agnieszka Małaszek,17,9A,B,,,
Agnieszka Małaszek,17,10A,H,,,
Agnieszka Małaszek,17,11A,"A,C,D,F",,,
Agnieszka Małaszek,17,12A,,,"Brakuje na podstawowe potrzeby. Bardzo drogie lakerstwa, respondentka ma dziurę pod sercem, czeka na poważną operację.",
Agnieszka Małaszek,17,13A,"E,F",,,
Agnieszka Małaszek,17,14A,,,Zbyt małe kwoty przeznaczane na pomoc.,
Agnieszka Małaszek,17,15A,A,,Ocena pozytywna,
Agnieszka Małaszek,17,15A,B,,Nie korzyształam/łem,
Agnieszka Małaszek,17,15A,C,,Nie korzyształam/łem,
Agnieszka Małaszek,17,15A,D,,Nie korzyształam/łem,
Agnieszka Małaszek,17,15A,E,,Nie korzyształam/łem,
Agnieszka Małaszek,17,15A,F,,Nie korzyształam/łem,
Agnieszka Małaszek,17,15A,G,,Ocena pozytywna,
Agnieszka Małaszek,17,15A,H,,Nie korzyształam/łem,
Agnieszka Małaszek,17,15A,I,,Nie korzyształam/łem,
Agnieszka Małaszek,17,15A,J,,Nie korzyształam/łem,
Agnieszka Małaszek,17,15A,K,,Nie korzyształam/łem,
Agnieszka Małaszek,17,15A,L,,Nie korzyształam/łem,
Agnieszka Małaszek,17,16A,,,Dodatkowa pomoc,
Agnieszka Małaszek,17,17A,G,,Nie znam nikogo,
Agnieszka Małaszek,17,18A,C,,,
Agnieszka Małaszek,17,19A,F,,,
Agnieszka Małaszek,17,20A,,,Nic,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,AGNIESZKA MAŁASZEK,,,
