Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,
Agnieszka Małaszek,18,1,A,,,
Agnieszka Małaszek,18,2,A,,,
Agnieszka Małaszek,18,3,B,,,
Agnieszka Małaszek,18,4B,B,,,
Agnieszka Małaszek,18,5B,B,,,
Agnieszka Małaszek,18,6B,A7,,,
Agnieszka Małaszek,18,7B,B,,LICZBA OSÓB PONIŻEJ 18 ROKU ŻYCIA 4,
Agnieszka Małaszek,18,8B,C,,,
Agnieszka Małaszek,18,9B,A,,,
Agnieszka Małaszek,18,10B,A,,,
Agnieszka Małaszek,18,11B,B,,,
Agnieszka Małaszek,18,12B,H,,,
Agnieszka Małaszek,18,13B,"A,F",,,
Agnieszka Małaszek,18,14B,,,"Wszystko drożeje, a przychody są takie same. Choroba dzieci",
Agnieszka Małaszek,18,15B,E,,,
Agnieszka Małaszek,18,16B,,,"Wszystko drożeja, a respondentka nie może podjąć pracy ze względu na zły stan zdrowia.",
Agnieszka Małaszek,18,17B,A,,Nie korzyształam/łem,
Agnieszka Małaszek,18,17B,B,,Nie korzyształam/łem,
Agnieszka Małaszek,18,17B,C,,Nie korzyształam/łem,
Agnieszka Małaszek,18,17B,D,,Nie korzyształam/łem,
Agnieszka Małaszek,18,17B,E,,Nie korzyształam/łem,
Agnieszka Małaszek,18,17B,F,,Nie korzyształam/łem,
Agnieszka Małaszek,18,17B,G,,Nie korzyształam/łem,
Agnieszka Małaszek,18,17B,H,,Nie korzyształam/łem,
Agnieszka Małaszek,18,17B,I,,Nie korzyształam/łem,
Agnieszka Małaszek,18,17B,J,,Nie korzyształam/łem,
Agnieszka Małaszek,18,17B,K,,Nie korzyształam/łem,
Agnieszka Małaszek,18,17B,L,,Nie korzyształam/łem,
Agnieszka Małaszek,18,18B,,,"Otrzymanie wsparcia rzeczowego np. sprzęt kuchenny, zmywarka itp. lub wszelkie inne darowizny",
Agnieszka Małaszek,18,19B,F,,Nie znam,
Agnieszka Małaszek,18,19A,A,,,
Agnieszka Małaszek,18,20B,C,,,
Agnieszka Małaszek,18,21B,,,Nie ,
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,AGNIESZKA MAŁASZEK,,,
