Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,
Agnieszka Małaszek,06,1,B,,,
Agnieszka Małaszek,06,2,A,,,
Agnieszka Małaszek,06,3,A,,,
Agnieszka Małaszek,06,4A,B,,,
Agnieszka Małaszek,06,5A,B,,,
Agnieszka Małaszek,06,6A,E,,,
Agnieszka Małaszek,06,7A,A,,Niepełnosprawność ze względu na chorobę,
Agnieszka Małaszek,06,8A,A,,Dorywcza praca bez umowy,
Agnieszka Małaszek,06,9A,B,,,
Agnieszka Małaszek,06,10A,H,,,
Agnieszka Małaszek,06,11A,"A,C,E,F,J,L",,,
Agnieszka Małaszek,06,12A,,,Zdrowotno - psychologiczny - stan depresyjnego zawieszenia,
Agnieszka Małaszek,06,13A,"A,D,E,F",,,
Agnieszka Małaszek,06,14A,,,Ze względu na pogarszający się stan zdrowia,
Agnieszka Małaszek,06,15A,A,,Ocena pozytywna,
Agnieszka Małaszek,06,15A,B,,Nie korzyształam/łem,
Agnieszka Małaszek,06,15A,C,,Nie korzyształam/łem,
Agnieszka Małaszek,06,15A,D,,Ocena pozytywna,
Agnieszka Małaszek,06,15A,E,,Ocena pozytywna,
Agnieszka Małaszek,06,15A,F,,Nie korzyształam/łem,
Agnieszka Małaszek,06,15A,G,,Ocena pozytywna,
Agnieszka Małaszek,06,15A,H,,Ocena negatywna,
Agnieszka Małaszek,06,15A,I,,Ocena pozytywna,
Agnieszka Małaszek,06,15A,J,,Nie korzyształam/łem,
Agnieszka Małaszek,06,15A,K,,Ocena pozytywna,
Agnieszka Małaszek,06,15A,L,,Nie korzyształam/łem,
Agnieszka Małaszek,06,16A,,,Bardziej przemyślana i zaplanowana polityka rządu,
Agnieszka Małaszek,06,17A,F,,"Jest alkoholikiem, sąsiad nie w pełni sprawny umysłowo",
Agnieszka Małaszek,06,18A,C,,,
Agnieszka Małaszek,06,19A,A,,,
Agnieszka Małaszek,06,20A,,,Spróbować zmienić prezydenta miasta Krakowa,
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,AGNIESZKA MAŁASZEK,,,
