Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,
Agnieszka Małaszek,07,1,B,,,
Agnieszka Małaszek,07,2,A,,,
Agnieszka Małaszek,07,3,B,,,
Agnieszka Małaszek,07,4B,B,,,
Agnieszka Małaszek,07,5B,B,,,
Agnieszka Małaszek,07,6B,6,,,
Agnieszka Małaszek,07,7B,B 2,,LICZBA OSÓB PONIŻEJ 18 ROKU ŻYCIA 2,
Agnieszka Małaszek,07,8B,D,,,
Agnieszka Małaszek,07,9B,A,,"Choroba przewlekła, nowotwór złośliwy",
Agnieszka Małaszek,07,10B,C,,,
Agnieszka Małaszek,07,11B,C,,,
Agnieszka Małaszek,07,12B,H,,,
Agnieszka Małaszek,07,13B,"A,C,D,E,F,J,L,M",,,
Agnieszka Małaszek,07,14B,,,"Choroba, pracowanie jest zabronione ze względu na stan zdrowia",
Agnieszka Małaszek,07,15B,"E,F",,,
Agnieszka Małaszek,07,16B,,,"Brak poprawy stanu zdrowia. Wszystko jest bardzo drogie, brakuje pieniędzy na lekarstwa. Pomoc żywnościowa jest pomocna natomiast nie wystarczająca. ",
Agnieszka Małaszek,07,17B,A,,Trudno powiedzieć,
Agnieszka Małaszek,07,17B,B,,Nie korzyształam/łem,
Agnieszka Małaszek,07,17B,C,,Nie korzyształam/łem,
Agnieszka Małaszek,07,17B,D,,Ocena pozytywna,
Agnieszka Małaszek,07,17B,E,,Nie korzyształam/łem,
Agnieszka Małaszek,07,17B,F,,Nie korzyształam/łem,
Agnieszka Małaszek,07,17B,G,,Trudno powiedzieć,
Agnieszka Małaszek,07,17B,H,,Nie korzyształam/łem,
Agnieszka Małaszek,07,17B,I,,Nie korzyształam/łem,
Agnieszka Małaszek,07,17B,J,,Nie korzyształam/łem,
Agnieszka Małaszek,07,17B,K,,Nie korzyształam/łem,
Agnieszka Małaszek,07,17B,L,,Nie korzyształam/łem,
Agnieszka Małaszek,07,18B,,,Rewaloryzacja pomocy limitów z MOPS - od lat niezmienna kwota pomocy z MOPS. Dodatkowe nawet małe pieniądze przyznane np.. Na utratę zdrowia.,
Agnieszka Małaszek,07,19B,G,,Nie znam,
Agnieszka Małaszek,07,19A,A,,,
Agnieszka Małaszek,07,20B,C,,,
Agnieszka Małaszek,07,21B,,,Nie ,
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,AGNIESZKA MAŁASZEK,,,
