Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,
Agnieszka Małaszek,19,1,A,,,
Agnieszka Małaszek,19,2,A,,,
Agnieszka Małaszek,19,3,A,,,
Agnieszka Małaszek,19,4A,B,,,
Agnieszka Małaszek,19,5A,B,,,
Agnieszka Małaszek,19,6A,C,,,
Agnieszka Małaszek,19,7A,A,,,
Agnieszka Małaszek,19,8A,C,,,
Agnieszka Małaszek,19,9A,B,,,
Agnieszka Małaszek,19,10A,H,,,
Agnieszka Małaszek,19,11A,F,,,
Agnieszka Małaszek,19,12A,,,"Nie jestem w stanie wykupić wszystkich potrzebnych lekarstw. Jestem osobą słabowidzącą, na jedno oko nic nie widzę co uniemożliwia mi podjęcie pracy.",
Agnieszka Małaszek,19,13A,"E,F",,,
Agnieszka Małaszek,19,14A,,,Nie wiadomo,
Agnieszka Małaszek,19,15A,A,,Ocena pozytywna,
Agnieszka Małaszek,19,15A,B,,Nie korzyształam/łem,
Agnieszka Małaszek,19,15A,C,,Nie korzyształam/łem,
Agnieszka Małaszek,19,15A,D,,Nie korzyształam/łem,
Agnieszka Małaszek,19,15A,E,,Nie korzyształam/łem,
Agnieszka Małaszek,19,15A,F,,Nie korzyształam/łem,
Agnieszka Małaszek,19,15A,G,,Ocena pozytywna,
Agnieszka Małaszek,19,15A,H,,Nie korzyształam/łem,
Agnieszka Małaszek,19,15A,I,,Nie korzyształam/łem,
Agnieszka Małaszek,19,15A,J,,Nie korzyształam/łem,
Agnieszka Małaszek,19,15A,K,,Nie korzyształam/łem,
Agnieszka Małaszek,19,15A,L,,Nie korzyształam/łem,
Agnieszka Małaszek,19,16A,,,Dodatkowa pomoc i wsparcie.,
Agnieszka Małaszek,19,17A,G,,Nie znam nikogo,
Agnieszka Małaszek,19,18A,C,,,
Agnieszka Małaszek,19,19A,A,,,
Agnieszka Małaszek,19,20A,,,Nie,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,AGNIESZKA MAŁASZEK,,,
