Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,
Agnieszka Małaszek,09,1,B,,,
Agnieszka Małaszek,09,2,A,,,
Agnieszka Małaszek,09,3,B,,,
Agnieszka Małaszek,09,4B,B,,,
Agnieszka Małaszek,09,5B,B,,,
Agnieszka Małaszek,09,6B,2,,,
Agnieszka Małaszek,09,7B,A,,,
Agnieszka Małaszek,09,8B,B,,,
Agnieszka Małaszek,09,9B,D,,,
Agnieszka Małaszek,09,10B,C,,,
Agnieszka Małaszek,09,11B,C,,,
Agnieszka Małaszek,09,12B,M,,,
Agnieszka Małaszek,09,13B,"A,D,F,J,M",,,
Agnieszka Małaszek,09,14B,,,Brak możliwości podjęcia rehabilitacji. Brak możliwości zakupu podstawowych produktów. Brak oszczędności.,
Agnieszka Małaszek,09,15B,"E,F",,,
Agnieszka Małaszek,09,16B,,,"Wiek emerytalny, brak pomocy od osób z zewnątrz oraz brak pomocy ze strony rządu i instytucji",
Agnieszka Małaszek,09,17B,A,,Ocena pozytywna,
Agnieszka Małaszek,09,17B,B,,Nie korzyształam/łem,
Agnieszka Małaszek,09,17B,C,,Nie korzyształam/łem,
Agnieszka Małaszek,09,17B,D,,Nie korzyształam/łem,
Agnieszka Małaszek,09,17B,E,,Ocena pozytywna,
Agnieszka Małaszek,09,17B,F,,Nie korzyształam/łem,
Agnieszka Małaszek,09,17B,G,,Ocena pozytywna,
Agnieszka Małaszek,09,17B,H,,Nie korzyształam/łem,
Agnieszka Małaszek,09,17B,I,,Nie korzyształam/łem,
Agnieszka Małaszek,09,17B,J,,Nie korzyształam/łem,
Agnieszka Małaszek,09,17B,K,,Nie korzyształam/łem,
Agnieszka Małaszek,09,17B,L,,Nie korzyształam/łem,
Agnieszka Małaszek,09,18B,,,Nic nie może pomóc,
Agnieszka Małaszek,09,19B,"C, G",,"osoby uzależnione od alkoholu stojące przed sklepem, nie stać ich na nic ale alkohol piją",
Agnieszka Małaszek,09,19A,F,,,
Agnieszka Małaszek,09,20B,C,,,
Agnieszka Małaszek,09,21B,,,"Zgłosić się do organizacji, które pomagają",
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,AGNIESZKA MAŁASZEK,,,
