Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,
Agnieszka Małaszek,14,1,A,,,
Agnieszka Małaszek,14,2,A,,,
Agnieszka Małaszek,14,3,B,,,
Agnieszka Małaszek,14,4B,B,,,
Agnieszka Małaszek,14,5B,B,,,
Agnieszka Małaszek,14,6B,4,,,
Agnieszka Małaszek,14,7B,B 2,,LICZBA OSÓB PONIŻEJ 18 ROKU ŻYCIA 2,
Agnieszka Małaszek,14,8B,B,,,
Agnieszka Małaszek,14,9B,A,,,
Agnieszka Małaszek,14,10B,A,,,
Agnieszka Małaszek,14,11B,A,,,
Agnieszka Małaszek,14,12B,R,,,
Agnieszka Małaszek,14,13B,"A,E,G",,,
Agnieszka Małaszek,14,14B,,,Brak pieniędzy na podstawowe potrzeby,
Agnieszka Małaszek,14,15B,"A, F",,,
Agnieszka Małaszek,14,16B,,,Są to jednorazowo udzielane pomoce,
Agnieszka Małaszek,14,17B,A,,Nie korzyształam/łem,
Agnieszka Małaszek,14,17B,B,,Ocena pozytywna,
Agnieszka Małaszek,14,17B,C,,Ocena pozytywna,
Agnieszka Małaszek,14,17B,D,,Ocena pozytywna,
Agnieszka Małaszek,14,17B,E,,Ocena pozytywna,
Agnieszka Małaszek,14,17B,F,,Nie korzyształam/łem,
Agnieszka Małaszek,14,17B,G,,Nie korzyształam/łem,
Agnieszka Małaszek,14,17B,H,,Nie korzyształam/łem,
Agnieszka Małaszek,14,17B,I,,Nie korzyształam/łem,
Agnieszka Małaszek,14,17B,J,,Trudno powiedzieć,
Agnieszka Małaszek,14,17B,K,,Trudno powiedzieć,
Agnieszka Małaszek,14,17B,L,,Nie korzyształam/łem,
Agnieszka Małaszek,14,18B,,,Podwyżka płac,
Agnieszka Małaszek,14,19B,"C,D",,,
Agnieszka Małaszek,14,19A,A,,,
Agnieszka Małaszek,14,20B,C,,,
Agnieszka Małaszek,14,21B,,,Lepsza informacja o możliwej pomocy,
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,AGNIESZKA MAŁASZEK,,,
