Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,
Agnieszka Małaszek,20,1,B,,,
Agnieszka Małaszek,20,2,A,,,
Agnieszka Małaszek,20,3,B,,,
Agnieszka Małaszek,20,4B,B,,,
Agnieszka Małaszek,20,5B,B,,,
Agnieszka Małaszek,20,6B,3,,,
Agnieszka Małaszek,20,7B,A,,,
Agnieszka Małaszek,20,8B,C,,,
Agnieszka Małaszek,20,9B,A,,Niepełnosprawność syna,
Agnieszka Małaszek,20,10B,A,,,
Agnieszka Małaszek,20,11B,B,,,
Agnieszka Małaszek,20,12B,H,,,
Agnieszka Małaszek,20,13B,"A,C,D,E,F,J",,,
Agnieszka Małaszek,20,14B,,,"Ograniczenie wydatków, selekcja potrzeb.",
Agnieszka Małaszek,20,15B,"A,E",,,
Agnieszka Małaszek,20,16B,,,"Wyżej wymienione działania pomogły, ale są tylko doraźne.",
Agnieszka Małaszek,20,17B,A,,Nie korzyształam/łem,
Agnieszka Małaszek,20,17B,B,,Nie korzyształam/łem,
Agnieszka Małaszek,20,17B,C,,Nie korzyształam/łem,
Agnieszka Małaszek,20,17B,D,,Nie korzyształam/łem,
Agnieszka Małaszek,20,17B,E,,Ocena pozytywna,
Agnieszka Małaszek,20,17B,F,,Nie korzyształam/łem,
Agnieszka Małaszek,20,17B,G,,Nie korzyształam/łem,
Agnieszka Małaszek,20,17B,H,,Nie korzyształam/łem,
Agnieszka Małaszek,20,17B,I,,Nie korzyształam/łem,
Agnieszka Małaszek,20,17B,J,,Nie korzyształam/łem,
Agnieszka Małaszek,20,17B,K,,Nie korzyształam/łem,
Agnieszka Małaszek,20,17B,L,,Nie korzyształam/łem,
Agnieszka Małaszek,20,18B,,,"Wsparcie dla niepełnosprawnego syna - zespół Aspergera, autyzm. Wygrana w totka",
Agnieszka Małaszek,20,19B,G,,Nie znam,
Agnieszka Małaszek,20,19A,F,,,
Agnieszka Małaszek,20,20B,B,,,
Agnieszka Małaszek,20,21B,,,Nie nic,
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,AGNIESZKA MAŁASZEK,,,
