Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,
Agnieszka Małaszek,12,1,B,,,
Agnieszka Małaszek,12,2,A,,,
Agnieszka Małaszek,12,3,A,,,
Agnieszka Małaszek,12,4A,B,,,
Agnieszka Małaszek,12,5A,A,,,
Agnieszka Małaszek,12,6A,A,,,
Agnieszka Małaszek,12,7A,A,,,
Agnieszka Małaszek,12,8A,F,,,
Agnieszka Małaszek,12,9A,B,,,
Agnieszka Małaszek,12,10A,D,,,
Agnieszka Małaszek,12,11A,"A,C,F",,,
Agnieszka Małaszek,12,12A,,,Choroba - depresja. Brak szans na poprawienie swojego losu,
Agnieszka Małaszek,12,13A,E,,,
Agnieszka Małaszek,12,14A,,,Ciężko powiedzieć,
Agnieszka Małaszek,12,15A,A,,Trudno powiedzieć,
Agnieszka Małaszek,12,15A,B,,Ocena pozytywna,
Agnieszka Małaszek,12,15A,C,,Nie korzyształam/łem,
Agnieszka Małaszek,12,15A,D,,Nie korzyształam/łem,
Agnieszka Małaszek,12,15A,E,,Nie korzyształam/łem,
Agnieszka Małaszek,12,15A,F,,Nie korzyształam/łem,
Agnieszka Małaszek,12,15A,G,,Ocena pozytywna,
Agnieszka Małaszek,12,15A,H,,Nie korzyształam/łem,
Agnieszka Małaszek,12,15A,I,,Nie korzyształam/łem,
Agnieszka Małaszek,12,15A,J,,Trudno powiedzieć,
Agnieszka Małaszek,12,15A,K,,Ocena pozytywna,
Agnieszka Małaszek,12,15A,L,,Nie korzyształam/łem,
Agnieszka Małaszek,12,16A,,,"Nie wiem, nie zastanawiam się nad tym. Mam inne problemy na głowie np. Jak dotrzeć do onkologa",
Agnieszka Małaszek,12,17A,F,,Nie znam takich osób,
Agnieszka Małaszek,12,18A,A,,Rozbudowa parków,
Agnieszka Małaszek,12,19A,G,,Od MOPSu,
Agnieszka Małaszek,12,20A,,,Nic ,
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,AGNIESZKA MAŁASZEK,,,
