Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,
Agnieszka Małaszek,15,1, B ,,,
Agnieszka Małaszek,15,2,A,,,
Agnieszka Małaszek,15,3,A,,,
Agnieszka Małaszek,15,4A,B,,,
Agnieszka Małaszek,15,5A,A,,,
Agnieszka Małaszek,15,6A,B,,,
Agnieszka Małaszek,15,7A,A,,,
Agnieszka Małaszek,15,8A,F,,,
Agnieszka Małaszek,15,9A,B,,,
Agnieszka Małaszek,15,10A,M,,,
Agnieszka Małaszek,15,11A,"A,D,F",,,
Agnieszka Małaszek,15,12A,,,"Pogorszenie się stanu zdrowia. Większość funduszy przeznaczonych jest na lekarstwa, brakuje na inne potrzeby",
Agnieszka Małaszek,15,13A,"A, E",,,
Agnieszka Małaszek,15,14A,,,Stan zdrowia nie pozwala na podjęcie pracy. Stan zdrowia jest główną przyczyną tego co się dzieje,
Agnieszka Małaszek,15,15A,A,,Ocena pozytywna,
Agnieszka Małaszek,15,15A,B,,Ocena pozytywna,
Agnieszka Małaszek,15,15A,C,,Nie korzyształam/łem,
Agnieszka Małaszek,15,15A,D,,Nie korzyształam/łem,
Agnieszka Małaszek,15,15A,E,,Ocena pozytywna,
Agnieszka Małaszek,15,15A,F,,Ocena pozytywna,
Agnieszka Małaszek,15,15A,G,,Ocena pozytywna,
Agnieszka Małaszek,15,15A,H,,Nie korzyształam/łem,
Agnieszka Małaszek,15,15A,I,,Nie korzyształam/łem,
Agnieszka Małaszek,15,15A,J,,Nie korzyształam/łem,
Agnieszka Małaszek,15,15A,K,,Nie korzyształam/łem,
Agnieszka Małaszek,15,15A,L,,Nie korzyształam/łem,
Agnieszka Małaszek,15,16A,,,Poprawa stanu zdrowia.,
Agnieszka Małaszek,15,17A,F,,Nie znam,
Agnieszka Małaszek,15,18A,C,,,
Agnieszka Małaszek,15,19A,A,,,
Agnieszka Małaszek,15,20A,,,Nie,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,AGNIESZKA MAŁASZEK,,,
