Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,
Agnieszka Małaszek,11,1,A,,,
Agnieszka Małaszek,11,2,A,,,
Agnieszka Małaszek,11,3,A,,,
Agnieszka Małaszek,11,4A,B,,,
Agnieszka Małaszek,11,5A,B,,,
Agnieszka Małaszek,11,6A,B,,,
Agnieszka Małaszek,11,7A,C,,,
Agnieszka Małaszek,11,8A,D,,,
Agnieszka Małaszek,11,9A,B,,,
Agnieszka Małaszek,11,10A,M,,,
Agnieszka Małaszek,11,11A,"A,B,D",,,
Agnieszka Małaszek,11,12A,,,Brakuje pieniędzy na podstawowe rzeczy,
Agnieszka Małaszek,11,13A,"E,F",,,
Agnieszka Małaszek,11,14A,,,Ponieważ wszystko drożeje,
Agnieszka Małaszek,11,15A,A,,Ocena pozytywna,
Agnieszka Małaszek,11,15A,B,,Ocena pozytywna,
Agnieszka Małaszek,11,15A,C,,Nie korzyształam/łem,
Agnieszka Małaszek,11,15A,D,,Ocena pozytywna,
Agnieszka Małaszek,11,15A,E,,Ocena pozytywna,
Agnieszka Małaszek,11,15A,F,,Nie korzyształam/łem,
Agnieszka Małaszek,11,15A,G,,Trudno powiedzieć,
Agnieszka Małaszek,11,15A,H,,Nie korzyształam/łem,
Agnieszka Małaszek,11,15A,I,,Nie korzyształam/łem,
Agnieszka Małaszek,11,15A,J,,Trudno powiedzieć,
Agnieszka Małaszek,11,15A,K,,Nie korzyształam/łem,
Agnieszka Małaszek,11,15A,L,,Nie korzyształam/łem,
Agnieszka Małaszek,11,16A,,,Otrzymywanie częściej zapomogi,
Agnieszka Małaszek,11,17A,D,,,
Agnieszka Małaszek,11,18A,C,,,
Agnieszka Małaszek,11,19A,A,,,
Agnieszka Małaszek,11,20A,,,Obniżki cen,
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,AGNIESZKA MAŁASZEK,,,
