Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,
Agnieszka Małaszek,16,1,B,,,
Agnieszka Małaszek,16,2,A,,,
Agnieszka Małaszek,16,3,B,,,
Agnieszka Małaszek,16,4B,B,,,
Agnieszka Małaszek,16,5B,A,,,
Agnieszka Małaszek,16,6B,8,,,
Agnieszka Małaszek,16,7B,1,,LICZBA OSÓB PONIŻEJ 18 ROKU ŻYCIA 1,
Agnieszka Małaszek,16,8B,A,,,
Agnieszka Małaszek,16,9B,E,,,
Agnieszka Małaszek,16,10B,C,,,
Agnieszka Małaszek,16,11B,C,,,
Agnieszka Małaszek,16,12B,H,,,
Agnieszka Małaszek,16,13B,"A,C,D,F",,,
Agnieszka Małaszek,16,14B,,,Brak pieniędzy na wszystko,
Agnieszka Małaszek,16,15B,A,,,
Agnieszka Małaszek,16,16B,,,"Nie wiadomo, może państwo za mało przekazuje",
Agnieszka Małaszek,16,17B,A,,Ocena pozytywna,
Agnieszka Małaszek,16,17B,B,,Nie korzyształam/łem,
Agnieszka Małaszek,16,17B,C,,Nie korzyształam/łem,
Agnieszka Małaszek,16,17B,D,,Nie korzyształam/łem,
Agnieszka Małaszek,16,17B,E,,Nie korzyształam/łem,
Agnieszka Małaszek,16,17B,F,,Nie korzyształam/łem,
Agnieszka Małaszek,16,17B,G,,Nie korzyształam/łem,
Agnieszka Małaszek,16,17B,H,,Nie korzyształam/łem,
Agnieszka Małaszek,16,17B,I,,Nie korzyształam/łem,
Agnieszka Małaszek,16,17B,J,,Trudno powiedzieć,
Agnieszka Małaszek,16,17B,K,,Nie korzyształam/łem,
Agnieszka Małaszek,16,17B,L,,Nie korzyształam/łem,
Agnieszka Małaszek,16,18B,,,Gdyby Państwo podniosło emeryturę,
Agnieszka Małaszek,16,19B,G,,Nie,
Agnieszka Małaszek,16,19A,A,,,
Agnieszka Małaszek,16,20B,C,,,
Agnieszka Małaszek,16,21B,,,Nie,
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,AGNIESZKA MAŁASZEK,,,
