Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,
Agnieszka Małaszek,08,1,A,,,
Agnieszka Małaszek,08,2,A,,,
Agnieszka Małaszek,08,3,B,,,
Agnieszka Małaszek,08,4B,B,,,
Agnieszka Małaszek,08,5B,B,,,
Agnieszka Małaszek,08,6B,4,,,
Agnieszka Małaszek,08,7B,A,,,
Agnieszka Małaszek,08,8B,D,,,
Agnieszka Małaszek,08,9B,A,,"Moja depresja oraz niepełnosprawność syna, utrata pracy przez chorobę",
Agnieszka Małaszek,08,10B,D,,,
Agnieszka Małaszek,08,11B,B,,,
Agnieszka Małaszek,08,12B,H,,,
Agnieszka Małaszek,08,13B,"A,C,E,F,J,O",,brak funduszy na wyjazd na wakacje,
Agnieszka Małaszek,08,14B,,,"Trzeba bardzo oszczędzać, zmniejszyć inne wydatki. Ograniczenie korzystania np. z kultury, wypoczynku",
Agnieszka Małaszek,08,15B,"A,E,F",,"np. mycie okien, sprzątanie",
Agnieszka Małaszek,08,16B,,,"Nie pozwala na to stan zdrowia, nie ma sił i możliwości więcej pracować. Trzeba się koncentrować na leczeniu, rehabilitacji. Dodatkowo trzeba pomóc synowi, który studiuje a nie pracuje.",
Agnieszka Małaszek,08,17B,A,,Ocena pozytywna,
Agnieszka Małaszek,08,17B,B,,Ocena pozytywna,
Agnieszka Małaszek,08,17B,C,,Nie korzyształam/łem,
Agnieszka Małaszek,08,17B,D,,Ocena pozytywna,
Agnieszka Małaszek,08,17B,E,,Ocena pozytywna,
Agnieszka Małaszek,08,17B,F,,Nie korzyształam/łem,
Agnieszka Małaszek,08,17B,G,,Ocena pozytywna,
Agnieszka Małaszek,08,17B,H,,Nie korzyształam/łem,
Agnieszka Małaszek,08,17B,I,,Nie korzyształam/łem,
Agnieszka Małaszek,08,17B,J,,Ocena pozytywna,
Agnieszka Małaszek,08,17B,K,,Ocena pozytywna,
Agnieszka Małaszek,08,17B,L,,Nie korzyształam/łem,
Agnieszka Małaszek,08,18B,,,Podjęcie pracy przez syna po ukończeniu przez niego studiów,
Agnieszka Małaszek,08,19B,"C,D,E",,,
Agnieszka Małaszek,08,19A,F,,,
Agnieszka Małaszek,08,20B,B,,,
Agnieszka Małaszek,08,21B,,,Zachęcić ludzi do korzystania z pomocy. Powiedzieć w jakim zakresie i skąd mogą uzyskać pomoc,
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,AGNIESZKA MAŁASZEK,,,
